,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
593,2960413.0773488907,0.0,2960413.0773488907,0.0,9.0,7.0,1e-06,1.3,10000000.0,0.00304514789623909,198.0,1.6272451272334013e-09,0.1,8.698534082486834e-09,0.9,8063578.1755055,108198.38802588226
594,2873319.7599113802,0.0,2873319.7599113802,0.0,6.0,4.0,1e-06,1.3,10000000.0,0.009744633852970709,53.0,3.7680755507078136e-08,0.1,1.2382464782331874e-08,0.9,4400040.465187971,6921194.614697969
595,2509823.3965741987,0.0,2509823.3965741987,0.0,3.0,4.0,1e-06,1.3,10000000.0,0.03770589257121549,130.0,7.097511577554258e-09,0.1,5.658252464102472e-09,0.9,606142.2562443404,4434396.142534491
596,2048488.4562968004,0.0,2048488.4562968004,0.0,6.0,102.0,1e-06,1.3,10000000.0,0.07319319566822141,199.0,7.392273456448063e-09,0.1,1.886649869581258e-07,0.9,497160.20033592946,519462.3580231818
597,29323.377770820844,44918690.09506192,23249.04830567564,0.0,11.0,815.0,1e-06,1.3,10000000.0,0.027534988595190293,171.0,2.34401120315543e-08,0.1,5.47403888269471e-07,0.9,4544224.339254761,558490.0312864648
598,2975620.344444502,0.0,2975620.344444502,0.0,2.0,56.0,1e-06,1.3,10000000.0,0.0018753581196536907,160.0,2.0508391324565198e-08,0.1,3.0246650945094644e-07,0.9,227040.2248015214,863180.9444969101
599,2742467.800006245,0.0,2742467.800006245,0.0,5.0,1.0,1e-06,1.3,10000000.0,0.019810169230288853,89.0,9.075708361151919e-08,0.1,1.8694958107822556e-09,0.9,1718215.2050003156,120663.48473750756
600,2927819.7724303263,0.0,2927819.7724303263,0.0,3.0,84.0,1e-06,1.3,10000000.0,0.005552325197667144,118.0,7.097515581878345e-09,0.1,1.3196757219325993e-07,0.9,9177965.13402494,671878.3418982576
601,0.0,0.0,0.0,0.0,1.0,55.0,1e-06,1.3,10000000.0,0.0029118731483071788,113.0,2.8787140021932426e-08,0.1,4.187474572531559e-07,0.9,198725.4796441874,506340.94425178133
602,2986835.2509638704,0.0,2986835.2509638704,0.0,4.0,73.0,1e-06,1.3,10000000.0,0.0010126730003774008,92.0,5.971887299002293e-09,0.1,1.5738928650348526e-07,0.9,608751.589669652,303609.8900656086
603,2856663.762793789,0.0,2856663.762793789,0.0,2.0,3.0,1e-06,1.3,10000000.0,0.011025864400477772,155.0,1.2026749712213635e-08,0.1,3.027059803085219e-08,0.9,134440.36833183467,6267372.182491939
604,0.0,0.0,0.0,0.0,1.0,2.0,1e-06,1.3,10000000.0,0.0338188570109524,189.0,9.778265377669833e-08,0.1,1.0771802683392438e-09,0.9,187671.2779927409,8959258.531776926
605,2933694.689341134,0.0,2933694.689341134,0.0,3.0,75.0,1e-06,1.3,10000000.0,0.005100408512220427,173.0,1.3096199374581479e-08,0.1,3.392406471805008e-07,0.9,437990.85836454143,6864972.1003638925
606,2977528.8757116627,0.0,2977528.8757116627,0.0,7.0,27.0,1e-06,1.3,10000000.0,0.0017285480221797898,65.0,6.339159157207869e-09,0.1,1.237064700644047e-07,0.9,124683.46349492022,2937100.617037157
607,2725488.72811308,0.0,2725488.72811308,0.0,2.0,153.0,1e-06,1.3,10000000.0,0.02111625168027358,109.0,9.534231410454351e-08,0.1,5.800127584021484e-07,0.9,214876.10200900893,1118105.8988940634
608,2956340.4487980334,0.0,2956340.448798033,0.0,5.0,21.0,1e-06,1.3,10000000.0,0.0033584270141628287,106.0,3.478806375177034e-09,0.1,4.5237707060870395e-08,0.9,691855.4349958627,465217.48831632076
609,2978352.5897504296,0.0,2978352.589750429,0.0,7.0,179.0,1e-06,1.3,10000000.0,0.0016651854019026527,132.0,5.204209462102338e-08,0.1,3.049172473299038e-07,0.9,311055.5390750879,442554.38719215733
610,2461108.9208415053,0.0,2461108.9208415053,0.0,5.0,18.0,1e-06,1.3,10000000.0,0.04145315993526887,103.0,9.579741776336843e-09,0.1,4.6477961102821335e-08,0.9,9219575.019923361,257551.04917283065
611,2947398.6651044628,0.0,2947398.6651044628,0.0,9.0,396.0,1e-06,1.3,10000000.0,0.00404625653042594,119.0,4.4818548465189046e-08,0.1,4.0787905946337657e-07,0.9,5012291.031296678,637144.0878245579
612,2025294.120506032,132914210.21672437,1811005.791940569,190165.37549052358,16.0,4.0,1e-06,1.3,10000000.0,0.05826265339533633,174.0,1.1156313163356913e-09,0.1,1.532390714140251e-09,0.9,1844321.2367389277,174167.6973363185
613,2421357.1695683026,0.0,2421357.1695683026,0.0,2.0,2.0,1e-06,1.3,10000000.0,0.04451098695628433,64.0,2.407781096590744e-08,0.1,1.1753454693085093e-08,0.9,165995.2652513568,1835931.3603657596
614,2364742.5084218723,0.0,2364742.5084218723,0.0,10.0,46.0,1e-06,1.3,10000000.0,0.04886596089062496,154.0,8.676781239155259e-08,0.1,2.9317905801700936e-08,0.9,9981474.40124991,177924.88416651965
615,2609542.1478923005,0.0,2609542.1478923005,0.0,5.0,1.0,1e-06,1.3,10000000.0,0.03003521939289991,176.0,3.6476625526422274e-08,0.1,1.2614046285542183e-09,0.9,1111697.436426415,1522156.6039635616
616,2693208.904336963,0.0,2693208.904336963,0.0,4.0,34.0,1e-06,1.3,10000000.0,0.023599315050950975,113.0,8.842311546218453e-09,0.1,4.616603031752447e-08,0.9,6083327.956768893,1299945.3956834667
617,2734148.6060119737,84565450.57823923,2709209.8344062064,0.0,8.0,606.0,1e-06,1.3,10000000.0,0.007622541459206564,159.0,5.067667242448183e-09,0.1,6.17965149274403e-07,0.9,1629284.0138613363,398762.81278240983
618,2925957.7012602617,0.0,2925957.7012602617,0.0,2.0,4.0,1e-06,1.3,10000000.0,0.005695561441518437,144.0,5.443624521187001e-09,0.1,1.9204635167534503e-08,0.9,116595.18227361371,2050080.9675360676
619,2603018.7834020094,36677922.36608611,2447737.16475564,77884.31789248968,13.0,681.0,1e-06,1.3,10000000.0,0.004180805022713562,62.0,2.7070165859613774e-09,0.1,9.386376381333649e-07,0.9,2280507.590686531,4942430.992752618
620,2976615.7068438693,10655.112308795438,2938948.03985381,37667.39544142368,11.0,5.0,1e-06,1.3,10000000.0,0.0018199956484778355,196.0,1.1235604523874719e-09,0.1,5.912640135434339e-09,0.9,411885.102400452,241798.9730210482
621,2972712.379132105,0.0,2972712.379132105,0.0,6.0,12.0,1e-06,1.3,10000000.0,0.002099047759068756,194.0,4.390021309829009e-09,0.1,2.1219429292292373e-08,0.9,233508.83422196293,4375762.01313335
622,2909766.462040965,0.0,2909766.462040965,0.0,10.0,5.0,1e-06,1.3,10000000.0,0.006941041381464095,68.0,2.2037755872562583e-08,0.1,9.842891610429088e-09,0.9,7943484.241358745,2735705.6308635557
623,2917462.9953287025,0.0,2917462.9953287025,0.0,7.0,1.0,1e-06,1.3,10000000.0,0.006349000359330508,89.0,9.276226556553067e-09,0.1,1.7577720798815996e-09,0.9,1474641.3732034848,4287263.130025258
624,2555153.944618834,0.0,2555153.944618834,0.0,9.0,55.0,1e-06,1.3,10000000.0,0.03421892733701268,153.0,9.500431637801692e-09,0.1,6.845853394665657e-08,0.9,5461732.6327006,596028.0793509802
625,2983755.984114412,0.0,2983755.984114412,0.0,2.0,3.0,1e-06,1.3,10000000.0,0.0012495396835065914,133.0,8.259440075185835e-08,0.1,2.8233108544852828e-09,0.9,829520.7128939469,2102498.456459988
626,2917709.429969057,0.0,2917709.429969057,0.0,3.0,3.0,1e-06,1.3,10000000.0,0.006330043848534073,67.0,6.148878994228583e-08,0.1,3.491975356026584e-08,0.9,233975.39161693302,206875.29287753903
627,992863.0268704102,168562538.1479013,24042.360704678533,957008.9215708518,23.0,427.0,1e-06,1.3,10000000.0,0.07013845139513893,105.0,1.022201429101598e-09,0.1,2.3318207917081933e-07,0.9,8606537.989204472,6057364.136700249
628,2195082.9002857376,0.0,2195082.9002857376,0.0,4.0,2.0,1e-06,1.3,10000000.0,0.06191669997802006,103.0,3.9256956403915805e-09,0.1,8.654967243146715e-09,0.9,7432625.394107271,7592998.703282072
629,2949568.4729740554,0.0,2728734.0627811234,220818.79535325317,14.0,2.0,1e-06,1.3,10000000.0,0.0041888769613543575,97.0,2.111201265103755e-09,0.1,2.825071449127548e-09,0.9,941177.0321159839,838215.6772851773
630,2883707.5435730303,0.0,2883707.5435730303,0.0,4.0,2.0,1e-06,1.3,10000000.0,0.008945573571305303,138.0,2.64852839173811e-08,0.1,2.055350348909236e-09,0.9,128939.0903610775,171054.14807646745
631,2679066.883681053,0.0,2679066.8836810533,0.0,8.0,19.0,1e-06,1.3,10000000.0,0.02468716279349246,79.0,4.245869241649262e-09,0.1,5.5817256554122454e-08,0.9,904027.765526784,1568882.9666945217
632,2948661.0172740216,724652.8132145888,2573152.2472751564,375395.71914403763,21.0,74.0,1e-06,1.3,10000000.0,0.004382526066345157,95.0,1.0289816404596785e-09,0.1,3.4396466541775053e-08,0.9,232575.83010055692,1470008.2223773
633,1923963.170989416,62785909.2463162,1257191.3895888987,668092.8218211186,34.0,20.0,1e-06,1.3,10000000.0,0.0776243018016282,84.0,1.7456430825795634e-09,0.1,3.3199953970331148e-09,0.9,6836154.196244754,181670.56519631582
634,0.0,0.0,0.0,0.0,1.0,43.0,1e-06,1.3,10000000.0,0.04370384834185048,156.0,7.675431207647923e-08,0.1,2.7377134901896445e-07,0.9,325657.8101887756,776194.7258843582
635,2978954.2305921526,0.0,507467.1682031136,2471325.069288807,10.0,13.0,1e-06,1.3,10000000.0,0.009257292978861992,75.0,2.8366742119745002e-09,0.1,2.7806948604768063e-08,0.9,4891642.501996539,2533617.1599857933
636,181.47891303913312,3680366117.8410783,139.84241284407523,0.0,37.0,1079.0,1e-06,1.3,10000000.0,0.0017253885485333188,197.0,8.689078386676434e-08,0.1,1.7557506532707336e-07,0.9,3074717.1321644685,8088890.906534957
637,2147655.994381492,53379516.916970834,1149443.8661308568,998714.6890301147,30.0,61.0,1e-06,1.3,10000000.0,0.06490771143413708,70.0,1.4578674230724167e-09,0.1,8.35537003798777e-09,0.9,1996522.6223244832,6750137.985992997
638,2386616.1452096947,53833629.22430532,1203063.4677885743,1182765.3236885017,53.0,8.0,1e-06,1.3,10000000.0,0.04703752693837691,82.0,1.0147426071209346e-09,0.1,1.0661928234933562e-09,0.9,197620.4400769459,5767638.347587659
639,2917497.289801719,0.0,2917497.289801719,0.0,30.0,17.0,1e-06,1.3,10000000.0,0.006346362322944618,192.0,6.835411426529216e-08,0.1,2.802170019106363e-09,0.9,9385493.558581714,795504.4772055172
640,2976124.024297343,0.0,2976124.024297343,0.0,2.0,3.0,1e-06,1.3,10000000.0,0.001836613514861479,107.0,4.752042362302796e-08,0.1,1.0519905819344481e-08,0.9,1163870.0621112473,4623665.950874504
641,2924396.599318741,0.0,2924396.599318741,0.0,8.0,5.0,1e-06,1.3,10000000.0,0.005815646206250648,178.0,5.751282184815016e-09,0.1,9.71295880567738e-09,0.9,486999.6574808954,1740594.4464171345
642,2930876.6536591356,0.0,2930876.6536591356,0.0,7.0,16.0,1e-06,1.3,10000000.0,0.005317180487758822,56.0,1.4498068489799552e-08,0.1,6.112208920370182e-08,0.9,5898967.919578126,1178430.882886708
643,2815391.945553886,0.0,2815391.945553886,0.0,5.0,3.0,1e-06,1.3,10000000.0,0.014200619572778003,103.0,5.7624101277009495e-08,0.1,1.5010524028712016e-09,0.9,1083423.241102256,734234.6634492485
644,2910193.749757358,0.0,2910193.749757359,0.0,5.0,82.0,1e-06,1.3,10000000.0,0.006908173094157446,126.0,2.80536338051593e-08,0.1,2.3360699670605823e-07,0.9,1203864.9449627209,1769266.2541449086
645,2947955.966449286,0.0,2947955.966449286,0.0,2.0,3.0,1e-06,1.3,10000000.0,0.004003387196208666,71.0,2.5026230251143498e-08,0.1,6.770102258471185e-08,0.9,211061.22011761885,4919626.49298896
646,2443804.0675130235,0.0,2443804.0675130235,0.0,5.0,91.0,1e-06,1.3,10000000.0,0.042784302498998124,65.0,4.8967673064770734e-08,0.1,3.0402695357238163e-07,0.9,3181200.6436857097,170591.34021310747
647,2964933.247087462,0.0,2964933.247087462,0.0,5.0,2.0,1e-06,1.3,10000000.0,0.0026974425317336267,173.0,7.175730595340175e-09,0.1,4.1353754360160965e-09,0.9,111861.34176561721,142664.67449266763
648,1790856.39699985,90846814.9055901,106673.51492262153,1647307.5968626305,10.0,610.0,1e-06,1.3,10000000.0,0.023519958770869608,165.0,1.2344346375966795e-09,0.1,6.972454318314481e-07,0.9,404092.5375885197,7237438.020330499
649,2522893.897567881,0.0,2522893.897567881,0.0,12.0,371.0,1e-06,1.3,10000000.0,0.0367004694178552,50.0,4.7344885557036115e-08,0.1,5.814911272474286e-07,0.9,7558744.30464197,3496659.3022798593
650,2882672.3152647754,0.0,2882672.3152647754,0.0,2.0,1.0,1e-06,1.3,10000000.0,0.009025206518094122,97.0,2.5209265290737613e-08,0.1,2.245509191528941e-08,0.9,523725.8671940761,8669546.957511766
651,2953464.722286835,0.0,2953464.722286835,0.0,4.0,2.0,1e-06,1.3,10000000.0,0.003579636747166422,193.0,1.6810274031616267e-08,0.1,5.6397909444571544e-09,0.9,2003223.4520163713,9479032.200429406
652,2319466.036647211,90997134.62133189,2330038.8483403367,11373.114319464994,8.0,586.0,1e-06,1.3,10000000.0,0.017348441990859255,119.0,2.0516179432776216e-09,0.1,9.881898893181847e-07,0.9,5059825.46406131,695401.3872984241
653,0.0,0.0,0.0,0.0,1.0,1.0,1e-06,1.3,10000000.0,0.019128242871044737,168.0,2.518197384890151e-08,0.1,1.5630363314123884e-09,0.9,336282.7420691032,141369.04744719586
654,2972640.290485364,0.0,2972640.290485364,0.0,4.0,59.0,1e-06,1.3,10000000.0,0.0021045930395873526,53.0,8.075081401952197e-08,0.1,2.6705626185401546e-07,0.9,1455940.5910140094,8241266.540006161
655,2933186.2987631294,0.0,2933186.2987631294,0.0,2.0,2.0,1e-06,1.3,10000000.0,0.005139515479759164,156.0,2.114789279212152e-08,0.1,1.2782740520366901e-09,0.9,356063.9686471922,2662638.2778165434
656,2986744.343060301,0.0,2986744.3430603,0.0,7.0,11.0,1e-06,1.3,10000000.0,0.0010196659178681392,76.0,9.197666702331325e-09,0.1,5.628098738881546e-08,0.9,1805281.4244019366,1336349.7163587634
657,1933488.82051558,0.0,1933488.82051558,0.0,6.0,2.0,1e-06,1.3,10000000.0,0.08203932149880157,162.0,5.908409094385866e-09,0.1,1.16912174453019e-09,0.9,3227237.5657466534,2499210.9708450693
658,2999955.777531802,0.0,544.6262246176505,2999410.3583958237,11.0,6.0,1e-06,1.3,10000000.0,0.017617699805844274,119.0,2.175806388741063e-09,0.1,1.2207874940454559e-08,0.9,316926.1461427958,9421603.199526593
