,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q,m_final,m_diff
91,fffc50ba-2c24-11ec-a5b6-fbfaf7786e70,188224.07532280317,970462.5958962375,87766.76262325671,100457.31269954646,10,526,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,59.24824,0.3596107,1.0000049002838554e-07,4.90028385547132e-13
92,fffd54ec-2c24-11ec-a5b6-fbfaf7786e70,183423.69901170986,1459733.891665409,94043.24013468188,89380.45887702798,8,564,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,58.61914,0.364756,1.362885197140765e-07,3.6288519714076505e-08
93,fffe59a0-2c24-11ec-a5b6-fbfaf7786e70,188019.5686159922,1008510.574217632,86498.10653057958,101521.46208541263,13,1101,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,64.15733,0.381018,9.999999765128967e-07,8.999999765128967e-07
94,ffff637c-2c24-11ec-a5b6-fbfaf7786e70,182936.10028233548,1353942.7416285218,121021.08901837027,61915.01126396521,14,690,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,62.5952,0.3040904,2.200380081397637e-07,1.200380081397637e-07
95,000068e4-2c25-11ec-a5b6-fbfaf7786e70,186525.7531702426,805336.2170479834,129061.41170216657,57464.34146807601,10,1349,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,60.56749,0.3830311,2.9671685707108725e-07,1.9671685707108725e-07
96,00016d8e-2c25-11ec-a5b6-fbfaf7786e70,188036.07948052255,1005258.1101966407,86619.48842923706,101416.59105128549,12,704,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,63.12002,0.2927404,9.99060307053157e-07,8.99060307053157e-07
97,000271ac-2c25-11ec-a5b6-fbfaf7786e70,182678.6582200669,1483374.6139729784,110827.88079614111,71850.77742392579,11,932,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,61.92234,0.3970261,4.020408904407699e-07,3.020408904407699e-07
98,000376ba-2c25-11ec-a5b6-fbfaf7786e70,187935.18067495304,1020200.1677727811,86660.22536658187,101274.95530837117,12,698,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,55.44574,0.4704531,9.978334115705237e-07,8.978334115705237e-07
99,00047f56-2c25-11ec-a5b6-fbfaf7786e70,188625.7389202122,918814.3611775293,83328.0510061304,105297.6879140818,11,823,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,71.3264,0.3194579,5.284239095960557e-07,4.284239095960557e-07
100,0005836a-2c25-11ec-a5b6-fbfaf7786e70,173083.18617255424,2328550.7595228897,145736.88950420188,27346.296668352355,14,1235,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,54.58457,0.3588008,9.999999999999997e-07,8.999999999999997e-07
