,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
527,4578130.797662994,0.0,4578130.797662994,0.0,9.0,262.0,1e-06,1.5,10000000.0,0.02812461348913356,144.0,1.0838820968203566e-08,0.04127462686598283,2.476612231425775e-07,0.9,5204930.538563701,262582.0568334606
528,4976461.219333034,0.0,4976461.219333034,0.0,10.0,2.0,1e-06,1.5,10000000.0,0.0015692520444642664,56.0,3.115883330309087e-08,0.1088534683782861,1.7715189736091897e-09,0.9,690615.310460032,1202679.5855039535
529,4978530.153532716,0.0,4978530.153532715,0.0,10.0,117.0,1e-06,1.5,10000000.0,0.001431323097816909,96.0,4.369204956873226e-09,0.26627967739311564,1.6730305158349426e-07,0.9,366694.43368491385,116203.86207297679
530,4955535.724773445,0.0,4955535.724773445,0.0,13.0,300.0,1e-06,1.5,10000000.0,0.002964285015103337,172.0,1.3041667251723588e-09,0.19306224011458795,2.44705933893362e-07,0.9,1069995.0176091,1655367.9070920025
531,4865005.618951817,0.0,4865005.618951817,0.0,8.0,56.0,1e-06,1.5,10000000.0,0.0089996254032036,74.0,1.7004327230022447e-08,0.2186552790083202,1.3750661111001646e-07,0.9,2004403.4034212679,671876.1472563696
532,4743287.094820711,0.0,4743287.094820711,0.0,4.0,3.0,1e-06,1.5,10000000.0,0.01711419367861916,60.0,1.9121090269576096e-08,0.18744598410211016,7.518100738629416e-09,0.9,2954561.784705971,3866645.412950024
533,4333349.409774335,48880594.10630493,3975391.20238461,317051.84026386036,35.0,148.0,1e-06,1.5,10000000.0,0.037004820390974524,161.0,1.134875174632129e-09,0.2568395683560831,1.3715465904258558e-07,0.9,717812.9085266887,2981256.157592899
534,4900628.170431274,0.0,4900628.170431273,0.0,11.0,505.0,1e-06,1.5,10000000.0,0.006624788637904191,81.0,2.608137295289778e-09,0.12764857643788974,9.13507709779386e-07,0.9,8971030.37012192,4132883.801956944
535,0.0,0.0,0.0,0.0,1.0,15.0,1e-06,1.5,10000000.0,0.008327452404320557,132.0,9.175778501325843e-08,0.22831835074726775,4.7295722883844304e-08,0.9,575246.5178423155,8943043.798168633
536,4945318.305659516,0.0,4945318.3056595195,0.0,15.0,385.0,1e-06,1.5,10000000.0,0.003645446289364297,152.0,2.106892086466498e-08,0.19167804640962874,1.8598700607653224e-07,0.9,9469624.15822472,232337.26843788152
