,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,absp,d,m,l,popinit,phageinit
877,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4235056115799947,28945308.476775818,0.008958471859028002,143.0,1.573224324893293e-09,0.16107388029124434,0.0,0.5560180354188797,6043489.470504514,6413578.618270301
878,55701.790602678084,0.0,0.0,55701.79060267808,1.0,1.0,0.0,1.4975150650335998,111960.00788249922,0.0014372363206719004,165.0,1.8131128521607137e-08,0.2395278603232624,0.0,0.7549327482105487,355875.27458054916,3606971.7230114834
879,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3731962018277746,39821262.04679391,0.0016733801321865583,95.0,2.9265425182727023e-09,0.047732254064236465,0.0,0.8613731202962208,2829385.8096129685,221447.46572849905
880,0.0,232645542.46975198,0.0,0.0,1.0,1.0,0.0,1.9521178329183684,2570050.839436667,0.0015043192056169573,136.0,2.3938869738072392e-09,0.00014664131586057392,0.0,0.10898915463689374,145237.54875101362,1566019.3042676651
881,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9992199183246991,113162.27789936846,0.06763545070306,165.0,4.0576972291426024e-08,0.13095512612469065,0.0,0.19462217695001882,130877.95445390421,3626233.354662916
882,564128.4521123354,6581640.623873831,0.0,564128.4521123354,1.0,1.0,0.0,1.2281718151159349,3610436.2216398674,0.014949185568365737,51.0,7.206980866237465e-09,0.203283148023688,0.0,0.6595127601300391,3804080.3554992527,1249317.2341995211
883,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9042210698917175,1962383.5991793803,0.03299819680152851,171.0,3.953795648233089e-08,0.04437383942398295,0.0,0.11875825967916842,274491.20779729786,3177715.640421531
884,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9067676379586893,17076712.5735336,0.013596100731794973,161.0,1.7029475030519685e-09,0.23069479710296792,0.0,0.09723024293670801,523890.49097323854,176024.67142116887
885,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9471517473660598,44603086.384918794,0.04827234560184271,171.0,4.055300244242759e-09,0.12518556437658723,0.0,0.625255974570422,6641298.396263588,4088686.5570165482
886,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9720841696824096,2850960.286000172,0.02051097490898769,96.0,3.1168172627447604e-09,0.23027702570008413,0.0,0.4298098799036407,132941.85538850375,1759893.3621496842
887,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.905746096825399,5642002.742102644,0.033749665010181035,127.0,1.5145935308205082e-08,0.1683816865819858,0.0,0.9933222102026065,2038579.2223416371,2633875.4872705974
888,1323364.475607071,0.0,0.0,1323364.475607071,1.0,1.0,0.0,1.4779538111590897,2768812.476687421,0.001963663485779936,87.0,2.1167648211569924e-09,0.276772660139433,0.0,0.17604843850475405,4048784.770908914,313010.9444862263
889,213406.22804658464,0.0,0.0,213406.22804658464,1.0,1.0,0.0,1.5401216924909775,395107.67853829206,0.08535893435329589,121.0,2.7431362208952595e-09,0.17876834986390686,0.0,0.39844617029582796,6688237.840437625,402690.967593115
890,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7141613899302381,21728429.49308621,0.001008825415194927,129.0,8.510879122980812e-09,0.14436240381507354,0.0,0.3204386770286072,7031014.714000978,520626.7400807867
891,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.887473768511125,2151714.857000648,0.03266132072777467,137.0,2.4996426902760914e-09,0.2067694314978049,0.0,0.4006067115645322,9969942.436562326,183328.38283710298
892,0.0,360.35743839395496,0.0,0.0,1.0,1.0,0.0,1.7713606583801234,3498314.8963215104,0.04249429413037764,88.0,9.272333837292714e-08,0.014869897842902746,0.0,0.5715396873887277,8683373.530611537,152383.13437297137
893,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9518082174374785,1253264.2904033635,0.06788994037093486,69.0,4.065914939329115e-08,0.14467090524076845,0.0,0.6716345267312744,9522577.307670625,118137.2449408437
