,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q
892,58b353bc-6bc2-11eb-9407-c971238d537f,187980.51281912625,1012883.1366429707,87024.35685022548,100956.15596890077,10,14,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.6873702305011976e-08,0.9,100000.0,10000000.0,50.98039,0.317551
893,58b41fb8-6bc2-11eb-9407-c971238d537f,188247.36435112168,970993.0756821358,87136.25767662526,101111.10667449642,12,311,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.305050600459512e-07,0.9,100000.0,10000000.0,79.39808,0.1924903
894,58b4e61e-6bc2-11eb-9407-c971238d537f,186749.2189948591,1179170.5089085978,90762.58565205525,95986.63334280386,15,353,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.4681287435873134e-07,0.9,100000.0,10000000.0,75.96158,0.1856284
895,58b5ac5c-6bc2-11eb-9407-c971238d537f,187255.22850908554,1154858.1369570852,81654.73005984777,105600.49844923777,12,795,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,6.851371561875745e-07,0.9,100000.0,10000000.0,76.47435,0.2161026
896,58b671f0-6bc2-11eb-9407-c971238d537f,188057.47705333208,1008645.9265868536,85842.63648920022,102214.84056413187,13,611,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.4537109038270696e-07,0.9,100000.0,10000000.0,78.70693,0.124881
897,58b736ee-6bc2-11eb-9407-c971238d537f,187997.4214741247,1010219.1081379758,87033.38516148408,100964.03631264063,10,8,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,6.7307551723866926e-09,0.9,100000.0,10000000.0,27.39726,0.4027778
898,58b7ff0c-6bc2-11eb-9407-c971238d537f,187990.1607568743,1011418.6591438188,87020.85298719937,100969.30776967494,8,7,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,9.31634728844282e-09,0.9,100000.0,10000000.0,14.28571,0.1875
899,58b8c6c6-6bc2-11eb-9407-c971238d537f,188660.06915855058,906357.3814118247,87246.19981130894,101413.86934724165,13,230,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.5627343737872467e-07,0.9,100000.0,10000000.0,77.54065,0.2300179
900,58b98bc4-6bc2-11eb-9407-c971238d537f,188831.40848817962,455643.876190131,138233.35866511127,50598.04982306834,16,44,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.696681468498283e-08,0.9,100000.0,10000000.0,57.79334,0.3174255
901,58ba5068-6bc2-11eb-9407-c971238d537f,169843.38230549285,3503040.6801053705,80548.92334799412,89294.45895749873,19,96,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.120583682118719e-08,0.9,100000.0,10000000.0,70.07061,0.2376768
902,58bb1796-6bc2-11eb-9407-c971238d537f,187997.45843566873,1010212.3866627528,87033.54465883545,100963.91377683327,9,6,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.667158253154423e-09,0.9,100000.0,10000000.0,27.45098,0.3114187
903,58bbde92-6bc2-11eb-9407-c971238d537f,188384.57779360696,931706.4855631206,89862.7086389444,98521.86915466256,9,41,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.353333558489225e-08,0.9,100000.0,10000000.0,67.1091,0.2792159
904,58bca368-6bc2-11eb-9407-c971238d537f,187962.28133621527,1024996.3283515037,85571.50457260998,102390.77676360529,17,1007,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.118332526406334e-07,0.9,100000.0,10000000.0,82.14952,0.2166423
905,58bd6ba4-6bc2-11eb-9407-c971238d537f,190095.21262915782,686198.658731622,86880.34845969501,103214.8641694628,14,145,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,8.734371527159282e-08,0.9,100000.0,10000000.0,84.61792,0.1667783
906,58be34bc-6bc2-11eb-9407-c971238d537f,187910.93688522791,1022055.8008833647,87235.65648240074,100675.28040282718,13,24,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.482409792926496e-08,0.9,100000.0,10000000.0,41.98839,0.3350269
907,58beff32-6bc2-11eb-9407-c971238d537f,188002.72445403287,1010028.3492273338,86935.85843486388,101066.86601916899,8,1,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.0375461020022914e-09,0.9,100000.0,10000000.0,,
908,58bfc76e-6bc2-11eb-9407-c971238d537f,187926.99985879386,1020432.6338801861,87133.42951396482,100793.57034482904,8,282,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.9127738778528514e-07,0.9,100000.0,10000000.0,75.4998,0.2041096
909,58c08eec-6bc2-11eb-9407-c971238d537f,188016.41126604905,1007679.9772277683,86972.53739059316,101043.87387545589,14,9,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.3788755625685065e-08,0.9,100000.0,10000000.0,20.47244,0.43
910,58c1571e-6bc2-11eb-9407-c971238d537f,187393.19898874895,1084222.9900750718,90143.58991534819,97249.60907340076,4,5,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.39791511028645e-09,0.9,100000.0,10000000.0,68.75,0.2469136
911,58c2216c-6bc2-11eb-9407-c971238d537f,183027.805722346,1291350.0130612014,140731.76040716658,42296.04531517941,15,1128,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,5.939164275876203e-07,0.9,100000.0,10000000.0,79.00718,0.1912864
912,58c2e692-6bc2-11eb-9407-c971238d537f,188103.11669134424,992674.3208340548,87226.10980588903,100877.00688545521,13,80,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,6.534452679652778e-08,0.9,100000.0,10000000.0,75.24893,0.2056639
913,58c3ac44-6bc2-11eb-9407-c971238d537f,182201.11923247698,1759949.257594404,103631.22964773043,78569.88958474655,10,27,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.364224069830027e-08,0.9,100000.0,10000000.0,63.63035,0.3066999
914,58c4708e-6bc2-11eb-9407-c971238d537f,187916.18134198154,1030242.7297112992,85856.80311824211,102059.37822373943,12,338,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.133521270402985e-07,0.9,100000.0,10000000.0,78.83899,0.2311126
915,58c53582-6bc2-11eb-9407-c971238d537f,188899.02081593248,906472.7563112114,81587.80808288456,107311.21273304793,10,126,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.0570955885941621e-07,0.9,100000.0,10000000.0,69.32217,0.2313465
916,58c5fb52-6bc2-11eb-9407-c971238d537f,155580.75800422253,4591865.858377612,132796.96257980436,22783.79542441819,14,118,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,9.242831596008476e-08,0.9,100000.0,10000000.0,64.78908,0.3246502
917,58c6c41a-6bc2-11eb-9407-c971238d537f,187815.03543037598,1039430.7271401028,86856.58097923292,100958.45445114306,15,879,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,8.503864146913093e-07,0.9,100000.0,10000000.0,78.58658,0.225003
918,58c7899a-6bc2-11eb-9407-c971238d537f,188036.40079035168,1000497.8512003772,87543.64404250096,100492.75674785071,15,33,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.859389802103428e-08,0.9,100000.0,10000000.0,55.98774,0.3296377
919,58c84e3e-6bc2-11eb-9407-c971238d537f,188009.91901040295,1008166.4818454471,87052.89177183887,100957.02723856409,10,10,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.0952562526670849e-08,0.9,100000.0,10000000.0,20.55556,0.3020833
920,58c9131e-6bc2-11eb-9407-c971238d537f,187974.46947976656,1014005.1429903038,86994.61270280938,100979.85677695718,9,14,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.5231972395342333e-08,0.9,100000.0,10000000.0,52.3622,0.4168962
921,58c9d7c2-6bc2-11eb-9407-c971238d537f,187990.7571333904,1011818.1401903529,86944.29841111024,101046.45872228016,5,2,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.2214628024590964e-09,0.9,100000.0,10000000.0,0,
922,58ca9c02-6bc2-11eb-9407-c971238d537f,187333.45248119452,1127144.832803067,84604.10946057303,102729.34302062148,9,112,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,9.054276215847439e-08,0.9,100000.0,10000000.0,77.90739,0.2035264
923,58cb64fc-6bc2-11eb-9407-c971238d537f,187997.86991034533,1010781.4096007448,86935.07357211837,101062.79633822695,6,1,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.38556769763832e-09,0.9,100000.0,10000000.0,,
924,58cc2a22-6bc2-11eb-9407-c971238d537f,173145.2425315929,2540881.426822256,130311.66670055632,42833.575831036585,8,8,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.0780251302638662e-08,0.9,100000.0,10000000.0,45.53571,0.3696145
925,58ccef70-6bc2-11eb-9407-c971238d537f,187988.2215180901,1012152.5085963699,86953.07492458225,101035.14659350786,6,2,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.7507293363973977e-09,0.9,100000.0,10000000.0,12.5,0.2222222
926,58cdb3ce-6bc2-11eb-9407-c971238d537f,187986.63228091877,1012345.9593846913,86961.08934699986,101025.54293391891,8,3,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.1584326039445831e-09,0.9,100000.0,10000000.0,9.677419,0.25
927,58ce796c-6bc2-11eb-9407-c971238d537f,188861.03720526537,863468.6207392095,88905.31954869331,99955.71765657206,10,12,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.2867152907358851e-08,0.9,100000.0,10000000.0,32.43243,0.3657025
928,58cf3db6-6bc2-11eb-9407-c971238d537f,187985.49613078457,1012309.4416561578,86994.06633758535,100991.42979319922,10,2,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.274302457881728e-09,0.9,100000.0,10000000.0,4.347826,0.2222222
929,58d006ba-6bc2-11eb-9407-c971238d537f,188197.98176852558,985005.1381400324,86157.58101385795,102040.40075466763,7,5,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,4.748345347471863e-09,0.9,100000.0,10000000.0,19.35484,0.1728395
930,58d0cd48-6bc2-11eb-9407-c971238d537f,187370.35017975705,1125828.254123014,83601.72935330696,103768.62082645009,8,383,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.368672794122396e-07,0.9,100000.0,10000000.0,69.22842,0.2608547
931,58d19552-6bc2-11eb-9407-c971238d537f,187985.63383631056,1012275.1086692112,86996.10990035922,100989.52393595134,12,3,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.4357052920313095e-09,0.9,100000.0,10000000.0,4.347826,0.25
932,58d25cf8-6bc2-11eb-9407-c971238d537f,188762.64220092198,663457.2520417783,115202.47443667377,73560.16776424821,23,21,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.1370048908750475e-08,0.9,100000.0,10000000.0,42.38729,0.3764648
933,58d3216a-6bc2-11eb-9407-c971238d537f,176502.08574670253,2431748.5832808623,134728.39042249141,41773.695324211105,15,18,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,2.07278175659341e-08,0.9,100000.0,10000000.0,48.24659,0.4022491
934,58d3e820-6bc2-11eb-9407-c971238d537f,187858.60988097597,1033357.8809584286,86757.65289679203,101100.95698418394,13,445,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,5.257476204941365e-07,0.9,100000.0,10000000.0,83.13382,0.1514562
935,58d4b034-6bc2-11eb-9407-c971238d537f,157188.04238153782,4759433.314551261,71793.24343131053,85394.79895022728,6,6,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.87523290088284e-09,0.9,100000.0,10000000.0,40,0.4097222
936,58d57636-6bc2-11eb-9407-c971238d537f,187951.5399489903,1016404.7544248768,87072.8518000286,100878.68814896171,13,248,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,3.080335497448761e-07,0.9,100000.0,10000000.0,65.9484,0.3189906
937,58d63b8e-6bc2-11eb-9407-c971238d537f,188085.9771388375,939435.4562823841,90082.53821973062,98003.43891910689,9,15,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.6758560598269783e-08,0.9,100000.0,10000000.0,58.39243,0.3452709
938,58d70172-6bc2-11eb-9407-c971238d537f,190514.71095424617,438879.1832548098,108872.00144326994,81642.70951097623,16,1333,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,7.263435858488317e-07,0.9,100000.0,10000000.0,80.32341,0.142928
939,58d7c594-6bc2-11eb-9407-c971238d537f,188008.37318319685,1008590.8429603651,87024.07737552749,100984.29580766936,6,1,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.136757086031904e-09,0.9,100000.0,10000000.0,,
940,58d889de-6bc2-11eb-9407-c971238d537f,190091.53224707016,522659.08319525246,107555.86490022943,82535.66734684074,9,8,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1.4587881508611817e-08,0.9,100000.0,10000000.0,45.57292,0.3168
